"","userId","productId","ratings"
"0","AKM1MP6P0OYPR","0132793040","5"
"1","A2CX7LUOHB2NDG","0321732944","5"
"2","A2NWSAGRHCP8N5","0439886341","1"
"3","A2WNBOD3WNDNKT","0439886341","3"
"4","A1GI0U4ZRJA8WN","0439886341","1"
"5","A1QGNMC6O1VW39","0511189877","5"
"6","A3J3BRHTDRFJ2G","0511189877","2"
"7","A2TY0BTJOTENPG","0511189877","5"
"8","A34ATBPOK6HCHY","0511189877","5"
"9","A89DO69P0XZ27","0511189877","5"
"10","AZYNQZ94U6VDB","0511189877","5"
"11","A1DA3W4GTFXP6O","0528881469","5"
"12","A29LPQQDG7LD5J","0528881469","1"
"13","AO94DHGC771SJ","0528881469","5"
"14","AMO214LNFCEI4","0528881469","1"
"15","A28B1G1MSJ6OO1","0528881469","4"
"16","A3N7T0DY83Y4IG","0528881469","3"
"17","A1H8PY3QHMQQA0","0528881469","2"
"18","A2CPBQ5W4OGBX","0528881469","2"
"19","A265MKAR2WEH3Y","0528881469","4"
"20","A37K02NKUIT68K","0528881469","5"
"21","A2AW1SSVUIYV9Y","0528881469","4"
"22","A2AEHUKOV014BP","0528881469","5"
"23","AMLFNXUIEMN4T","0528881469","1"
"24","A2O8FIJR9EBU56","0528881469","4"
"25","A3IQGFB959IR4P","0528881469","1"
"26","AYTBGUX49LF3W","0528881469","4"
"27","A24QFSUU00IZ05","0528881469","2"
"28","A1NG5X8VYZWX0Q","0528881469","1"
"29","A1E4WG8HRWWK4R","0528881469","5"
"30","A2AOEW5UGXFOOQ","0528881469","5"
"31","A2XSWV6AQI90BR","0528881469","1"
"32","AR84FMFYCQCWF","0528881469","1"
"33","A19TBA1WARJS55","0528881469","2"
"34","A3C5SMBSKKWNPT","0528881469","5"
"35","A24EV6RXELQZ63","0528881469","1"
"36","A3T6ZQONABIJSG","0528881469","1"
"37","A132P6YSJSI5G2","0528881469","2"
"38","A1NQPG5IJ43HJI","0558835155","3"
"39","A2WOJCFAWI8VS8","059400232X","5"
"40","A22FB2WSZSXSHH","059400232X","5"
"41","AZQZ3STMCBG5H","059400232X","5"
"42","A2EGPA22UHMQXL","0594012015","1"
"43","AC57CU3TF6ZMJ","0594012015","5"
"44","A2YX0Z6RHA8Y2H","0594012015","1"
"45","A38T51B7J6QVD9","0594012015","1"
"46","A1HOSS7PNC1LMU","0594012015","1"
"47","A9HI77BE35VYE","0594012015","1"
"48","A3HFUWKSPF5QEH","0594012015","5"
"49","A38ETMHM9ATSF0","0594012015","1"
"50","A34O6MND17VDDH","0594017343","1"
"51","A3JSAGWSLY5044","0594017580","3"
"52","A3B12X05JZKM94","0594033896","5"
"53","AKZOMZCNU41GZ","0594033896","4"
"54","A2XTFY0GJDF3R2","0594033896","4"
"55","A3ILG56NE5QU37","0594033896","5"
"56","AOK77THMKCGXZ","0594033896","4"
"57","A24RBL3W5W6SAN","0594033926","5"
"58","A2RX85Y4S27N2J","0594033926","1"
"59","A253JJFXQNPCOJ","0594033926","4"
"60","AHYURLVH267MA","0594033926","5"
"61","A1FXYTO11KEJ2P","0594033926","4"
"62","A2TKKYL3GKFS2M","0594033926","5"
"63","A3F069UFW04K1E","0594033926","5"
"64","A3HQ8RXUMJ2Y58","0594033926","5"
"65","A2MNKBHPMBB0EA","0594033926","5"
"66","A3HGTTFIDLCWDJ","0594033926","4"
"67","AYM7NJTTX3M0L","0594033926","5"
"68","A2PL24SVISXZM9","0594033926","5"
"69","A3I1C8WM8DLSMM","0594033926","5"
"70","A29LNVZLBG0IYN","0594033926","5"
"71","A2CP4GY6XAWIII","0594033926","5"
"72","A1UMFN4RKU451R","0594033934","5"
"73","A3T3XKC7H5ACI1","0594033934","5"
"74","A1NQNJ3EAZ6CMZ","0594202442","4"
"75","A34TPQUVSQXXPX","0594287995","5"
"76","A2B4F6LP0ZLI8E","0594296420","3"
"77","A1RKH6803HVOQL","0594296420","5"
"78","A3ZNVCQCG57AY","0594296420","5"
"79","A1HM74IXWXQ5D8","0594296420","5"
"80","A2DUI0YVE1DZ48","0594296420","5"
"81","AH3LYMIBZ6DKF","0594296420","5"
"82","AWA0CM7TY98QX","0594450209","5"
"83","A244IAP7UBVHH6","0594450209","5"
"84","A3E7PG9CHDBICA","0594450705","5"
"85","A2JXAZZI9PHK9Z","0594451647","5"
"86","A1RTWWRHVIVWQW","0594451647","5"
"87","A2P5U7BDKKT7FW","0594451647","2"
"88","A262D8GC5XRU31","0594451647","5"
"89","AAZ084UMH8VZ2","0594451647","5"
"90","A3M122DYN9L5N8","0594451647","1"
"91","A3S0RV5ZQ37538","0594451647","4"
"92","A150Y5KRN7FWJJ","0594451647","5"
"93","AEZ3CR6BKIROJ","0594451647","4"
"94","A3BY5KCNQZXV5U","0594451647","5"
"95","A1JIOBEWHVV8MC","0594451647","5"
"96","A2OJRZGW5YVGNS","0594451647","5"
"97","A14KUMEJ094IZ3","0594451647","5"
"98","A212UCG62RO8JF","0594451647","5"
"99","A18U7ZDE2VHD01","0594477670","5"
"100","A39J1PTX1KAL66","0594477670","5"
"101","A2IEJQ8754BMSI","0594477670","4"
"102","APGCN777AZIYR","0594478162","4"
"103","A1UMV2TNJ96LMU","0594481813","5"
"104","A7S2B0I67WNWB","0594481813","4"
"105","A3HICVLF4PFFMN","0594481813","5"
"106","A3HGP1YI7G80HA","0594481813","5"
"107","A2SRW2W1GXYKQZ","0594481813","5"
"108","A3S51KDTK4P2JP","0594481813","4"
"109","A2ATRYXF83T83K","0594481813","5"
"110","A5MJPMMDAA1RQ","0594481813","5"
"111","A1RGYV1ASMTMSE","0594481813","1"
"112","ANSKSPEEAKY7S","0594481813","5"
"113","A2QBZA4S1ROX9Q","0594481813","3"
"114","A2FT4NPBE189NB","0594481813","5"
"115","AEFUHKIXACWJW","0594481813","5"
"116","ANY6JUFM0GH8U","0594481813","5"
"117","A29AHNG4TUERKG","0594481813","1"
"118","AT09WGFUM934H","0594481813","3"
"119","A1JB5VD57VRYAX","0594481813","5"
"120","A22055Y81HHDQ9","0594481813","1"
"121","A2CVNEE0H2F1YE","0594481813","4"
"122","ASLRVLGGF5F2J","0594481813","5"
"123","A2TSQNO5HXCYN2","0594481813","5"
"124","A1G0KYO61NFVTF","0594481813","5"
"125","A2OC1UK7VMBLOT","0594481813","4"
"126","A260COKJRRVS3U","0594481813","5"
"127","A1T8TP4OHT5T13","0594481813","4"
"128","AGAKHE014LQFU","0594481813","3"
"129","A3NU787GB0X67S","0594481813","5"
"130","AY0BL2JD0GAFT","0594481813","5"
"131","A2UVFEZ7UDBRAA","0594481813","5"
"132","A2332ANCYJS96P","0594481813","5"
"133","A1S6B5QFWGVL5U","0594481813","4"
"134","A399VAWM09IRH9","0594481902","5"
"135","AMP3SRCVG8VED","0594481902","5"
"136","ANFUGJ8Z9EMQS","0594481902","5"
"137","A2N3PEHL6QY8U8","0594481902","5"
"138","A2KK9GUTOXMB43","0594481902","5"
"139","A1G5M9B068B6N4","0594481902","5"
"140","A107S4MT25VXQ5","0594481902","5"
"141","A1IIGG5OMZKNYP","0594481902","2"
"142","A3RV0ZUIEOM0TX","0594481902","5"
"143","AAWFWZ2K9WTV1","0594481902","5"
"144","A2J3WVIQ5LO1O7","0594481902","4"
"145","A1GI134K2EVPEM","0594481902","5"
"146","A37ASPPZ778F9O","0594481902","1"
"147","AWL0JAXP3LQWJ","0594482127","4"
"148","A29FNXHYVA2W4G","0594511488","5"
"149","A32JHAQPVSGHUD","0594511488","5"
"150","A2C8SNQ59NMJ1","0594514681","5"
"151","AUMPN10O0S5WE","0594514681","4"
"152","A1APJUGO70YI8","0594514789","5"
"153","A3EI9TX2A4MUSZ","0594549507","4"
"154","A3JQESKSRFB6MV","0594549558","5"
"155","A3AW83CCH2SYAG","0743610431","5"
"156","A3IL8P9RPBUW2X","0743610431","3"
"157","A1C09ZLU9Z56TG","0777700018","5"
"158","A2E14J26DQZOAA","0777700018","5"
"159","A16OJ9FTF432BE","0840017677","4"
"160","A2WOSVWG4SX1J1","0879393742","5"
"161","A17ZYVAZZZWXU5","0879393742","3"
"162","A1PY7ODDSRIFGV","0879393742","4"
"163","AJ4QIAKKHW21N","089933623X","1"
"164","A2RMLNVKPFRK7X","089933623X","4"
"165","A2R4GEWPLORVSO","0899336795","2"
"166","A1KKUYTDUZDZSA","0899336795","4"
"167","A34527S2PDKKGN","0899336795","3"
"168","ACVACAN9F8XKR","0899336795","1"
"169","A5OXSZ6JI3WW0","0899336795","1"
"170","A28K8QC9C4WPGE","0899336795","1"
"171","A266DODBJYK0X","0899336795","1"
"172","A17RBVZX3VTNBW","0899336795","1"
"173","AV4GK35MHBFMW","0899336795","1"
"174","A3UKB1QYS8KBW0","0899336795","1"
"175","A11E2USO989A37","094339676X","5"
"176","A9CRICSLKO7DJ","0970407998","1"
"177","A32HSNCNPRUMTR","0970407998","1"
"178","A17HMM1M7T9PJ1","0970407998","4"
"179","A1GWA4DX7T4RWE","0970407998","5"
"180","A233AWZLS4LDYO","0970407998","5"
"181","A737SIAIN3WIY","0970408005","5"
"182","AVH06NSECM8EY","0970408005","3"
"183","A1BKC6B7YHYTVV","0972683275","4"
"184","AWVFSIB42LHKJ","0972683275","4"
"185","A36MQBNADRH8YY","0972683275","5"
"186","A3SRXMPLAEZ6DP","0972683275","4"
"187","A20XXTXWF2TCPY","0972683275","5"
"188","AOZZ0CTG5RMW1","0972683275","4"
"189","A2IDCSC6NVONIZ","0972683275","5"
"190","AML8NIWFKHZJU","0972683275","3"
"191","A33HBPL7Q6SZMG","0972683275","5"
"192","A22JDDJB1ZLGGZ","0972683275","5"
"193","A39PZJCRS98E6P","0972683275","5"
"194","A17S5ODXALEGVP","0972683275","5"
"195","A2WAXINV2ODKUQ","0972683275","5"
"196","A23X08KRDJKF7","0972683275","5"
"197","A15FPN5N8TI3Q8","0972683275","3"
"198","A1ZD73MDX4POAY","0972683275","5"
"199","A1EDI0X3GI1SK7","0972683275","5"
"200","A3BMUBUC1N77U8","0972683275","4"
"201","A1WSLZ5AVVHLRX","0972683275","5"
"202","A2ZBW1GVAXYGNI","0972683275","1"
"203","A3H4C425X1H2H9","0972683275","5"
"204","A17D7RRY5F6Q6E","0972683275","4"
"205","AYL6T95NTTYCT","0972683275","1"
"206","ARG1JEPRCUDQT","0972683275","5"
"207","A3BPE4JK9G2SIE","0972683275","5"
"208","AVRFGGCCCR6QU","0972683275","4"
"209","ARW08E970C4A4","0972683275","3"
"210","AKUNHU70LFK6E","0972683275","5"
"211","A156MPSDULFFO5","0972683275","4"
"212","A1RJD803EYM353","0972683275","5"
"213","A3UOSOCRKS3WIH","0972683275","5"
"214","AWE6E7DWGGWN7","0972683275","5"
"215","A3PRSCGIX3NY0X","0972683275","5"
"216","A1RGY08MHYC8AG","0972683275","4"
"217","AQJ9VAGG0QKEH","0972683275","5"
"218","A3NFODKXP6LXLV","0972683275","5"
"219","A36JCYNJG4Q2W6","0972683275","5"
"220","A2XPU8EMY19NBQ","0972683275","3"
"221","A1FAOXB8IJS99K","0972683275","5"
"222","A19X9H8DC3U31K","0972683275","5"
"223","A32XX53PIYV78T","0972683275","4"
"224","A1G1B7UE7D675U","0972683275","5"
"225","A778X9CUE16YO","0972683275","4"
"226","A1E9C49T7E6GKV","0972683275","5"
"227","A2G2K3OC74CPFZ","0972683275","5"
"228","A371ZZ95ZQEIZV","0972683275","4"
"229","A17BX6ISOLKLXM","0972683275","4"
"230","A1SJ4E4I684N6M","0972683275","5"
"231","A3A5LQ5T7M7I8V","0972683275","5"
"232","A18SGGRTJKKHR3","0972683275","3"
"233","A2ZSAJ28QS6Z68","0972683275","5"
"234","A2UUNC4CW16062","0972683275","3"
"235","A7060R14RJF3I","0972683275","4"
"236","AIHN98QLUVU7E","0972683275","5"
"237","A3RCX7Z7I9G2MF","0972683275","5"
"238","A1JLEDHBYBOLG2","0972683275","5"
"239","A3GG0HR8199P8Z","0972683275","1"
"240","A3R0H2RJY9DM99","0972683275","5"
"241","A26QCCO0101CO1","0972683275","5"
"242","APBF796U7GUTV","0972683275","5"
"243","A3T1DE9OZLLLWG","0972683275","1"
"244","AUCYYUP15XJA","0972683275","5"
"245","A14V9YT3C4QRPW","0972683275","4"
"246","A1HRZF7BQSCLUC","0972683275","4"
"247","AZPT44204EODM","0972683275","5"
"248","A1TDQTL9185HTU","0972683275","5"
"249","A6DI4IE8MKFYR","0972683275","5"
"250","A1CE42YCMQ3FEX","0972683275","4"
"251","A1VYNYUM57GAM0","0972683275","5"
"252","A1C1XLRK3R841B","0972683275","5"
"253","AF6352V65ZNG1","0972683275","4"
"254","AFS5ZGZ2M3ZGV","0972683275","5"
"255","AH5FPXRBVFP0B","0972683275","5"
"256","A1FXZJ8ZMQLYBS","0972683275","5"
"257","A2HLNXOYLMERTC","0972683275","5"
"258","A2ULCET06LOPBB","0972683275","5"
"259","A95VB9FYXW5XJ","0972683275","5"
"260","A3CCITVF0WL6KE","0972683275","5"
"261","AYZ54MQJUM3NV","0972683275","5"
"262","AYQNWE3AX4H08","0972683275","5"
"263","A3P2ZN0QGUALHG","0972683275","5"
"264","AS2KRDSIWBM2P","0972683275","4"
"265","ALL8RBDZK0WWO","0972683275","4"
"266","A33MVR4OT3321","0972683275","5"
"267","A3P24ZSF9IQRJJ","0972683275","5"
"268","A2YYH2I9S9TUCM","0972683275","5"
"269","A3PY6TQYAZG7MB","0972683275","5"
"270","A7SPHMIUOO3H1","0972683275","4"
"271","A1JI3XL5ME8CWM","0972683275","4"
"272","AIRPOKZ4206EG","0972683275","5"
"273","A320EVMBXQI9B8","0972683275","2"
"274","AQBLWW13U66XD","0972683275","5"
"275","A2JQZJVI9DS6R6","0972683275","5"
"276","AEBGTLDMLWZO4","0972683275","5"
"277","A70MDVX1NI1MM","0972683275","5"
"278","A1WT0YXXFDUY46","0972683275","5"
"279","A2DO34E3J21CRT","0972683275","5"
"280","A1079KKA0AXSL3","0972683275","4"
"281","A3NNSGACHBM7MK","0972683275","4"
"282","A3CK3T0E4C99CJ","0972683275","5"
"283","AUKEU9CW56TT4","0972683275","5"
"284","A3UNB8ASV0YNCN","0972683275","4"
"285","A2BWX768VJ5QFS","0972683275","5"
"286","AYIMC83D50LGH","0972683275","5"
"287","A21VE3LW3ZQ7KZ","0972683275","4"
"288","A2IYE9D2TEIDYV","0972683275","5"
"289","A1Z3FKFCMLSMG3","0972683275","4"
"290","A28YQET4K11XVA","0972683275","4"
"291","AYRHK2GGO4VFU","0972683275","5"
"292","A3130BH1Z7OPD2","0972683275","3"
"293","AGWAOGY3WTN4X","0972683275","5"
"294","A1L5LHGAUIIEOU","0972683275","5"
"295","A23A7OH3AM0PDA","0972683275","4"
"296","A12AU3CNAWYO5D","0972683275","5"
"297","A5O0P0JV6PLU3","0972683275","5"
"298","A3TY97QXQ6ZFSQ","0972683275","4"
"299","A2LKVJ3HM9FKUE","0972683275","5"
"300","A35QI2GKW8K230","0972683275","1"
"301","A4VTUX8VGLMAW","0972683275","5"
"302","A27X48PMUGK6U4","0972683275","5"
"303","A36B6D7RXI94JR","0972683275","5"
"304","A2KQDWZZUBBNOJ","0972683275","4"
"305","AW90C3YRHB3TG","0972683275","1"
"306","A2IXNEHMM685C9","0972683275","3"
"307","A27XULAA9X5ZGQ","0972683275","5"
"308","A3OB8MSEUT2B0F","0972683275","5"
"309","A4CUFSZBWO8HR","0972683275","2"
"310","A3DIXHIECTEKV2","0972683275","2"
"311","A1BAAIX0K2960C","0972683275","5"
"312","A3TTQNM920Q30O","0972683275","5"
"313","AWYAJCVLQNJK8","0972683275","5"
"314","A3IIGCFLKVFW8M","0972683275","5"
"315","A1C4BMQQXOQD80","0972683275","4"
"316","A2NJJGX3EMM4KB","0972683275","5"
"317","A1YFZQQLQ3QZHK","0972683275","2"
"318","ATWS0VHG8NOUZ","0972683275","5"
"319","AYGDF2QFY2ZZ3","0972683275","5"
"320","A2063NNYWR4B7J","0972683275","4"
"321","A108UXJTIV8XXY","0972683275","5"
"322","A35TCV053U9AHN","0972683275","4"
"323","A3ON9HIKV7GO6K","0972683275","5"
"324","A13S3RBHK5T968","0972683275","5"
"325","A20VSTDILG9K7H","0972683275","4"
"326","A1Y7I43UEGKDN7","0972683275","4"
"327","A3LUBQ6HTHQC9C","0972683275","4"
"328","AGG3RTQFN3OJ4","0972683275","5"
"329","A1EWPEGJYIX23N","0972683275","5"
"330","AVOYMPC2XY63V","0972683275","5"
"331","A3VKO21KYDJQ2W","0972683275","3"
"332","A1MSO6LERG39PC","0972683275","5"
"333","A20Q4FIBCAG2ZV","0972683275","5"
"334","A2LDAK4G15UOQ6","0972683275","4"
"335","A1980MGZXSGJP","0972683275","5"
"336","AQI418NDK5GF3","0972683275","5"
"337","A2QDYDMCPU68U5","0972683275","5"
"338","A35DGOWXUZYTWS","0972683275","5"
"339","A1JOEW6J1H9CXX","0972683275","5"
